img x1 y1 x2 y2
12664 0 5 796 647
12665 3 5 798 595
12666 10 8 334 263
12667 19 33 261 183
12668 91 21 514 336
12669 92 62 593 413
12670 8 165 798 595
12671 36 0 360 267
12672 20 68 453 307
12673 72 180 314 420
12674 8 20 612 476
12675 30 39 382 311
12676 119 97 375 265
12677 0 105 218 311
12678 0 32 240 288
12679 88 50 319 156
12679 201 174 485 346
12679 127 92 421 251
12680 8 46 269 227
12681 1 36 751 586
12682 28 29 778 625
12683 83 41 750 600
12684 2 4 579 441
12685 0 5 344 255
12686 1 1 388 293
12687 40 2 352 270
12688 5 3 295 219
12689 42 35 335 252
12690 22 17 301 220
12691 0 63 488 532
12692 12 46 261 244
12693 64 20 588 438
12694 12 23 350 276
12695 42 80 411 294
12696 69 38 245 187
12697 3 107 317 398
12698 99 74 395 264
12699 21 24 214 160
12700 6 19 470 359
12701 8 3 379 285
12702 1 12 430 245
12703 110 84 400 342
12704 155 45 491 356
12705 12 36 227 294
12706 8 8 620 458
12707 76 25 400 321
12708 6 6 395 297
12709 0 1 316 213
12710 70 115 371 321
12711 43 86 143 169
12712 22 17 443 294
12713 0 84 500 345
12714 0 11 395 336
12715 16 4 402 291
12716 3 128 190 318
12717 0 112 345 394
12718 46 15 800 591
12719 210 151 378 334
12720 0 155 295 427
12721 0 0 468 375
12722 2 0 336 252
12723 22 69 452 305
12724 0 16 508 382
12725 21 213 670 616
12726 28 20 795 612
12727 0 35 786 588
12728 1 39 471 354
12729 0 57 499 353
12730 3 4 218 168
12731 0 6 439 329
12732 4 28 504 466
12733 3 91 459 398
12734 4 18 262 360
12735 0 38 320 240
12736 50 32 395 295
12737 0 73 491 368
12738 12 266 502 680
12739 99 71 390 254
12740 6 132 728 526
12741 0 0 280 373
12742 0 0 800 601
12743 32 40 392 316
12744 0 23 800 600
12745 5 39 386 336
12746 0 166 598 800
12747 73 186 780 561
12748 140 71 676 586
12749 0 80 197 294
12750 36 9 475 375
12751 61 69 453 321
12752 84 86 392 286
12753 13 36 770 583
12754 20 0 374 289
12755 6 186 780 595
12756 7 22 350 336
12757 45 4 385 330
12758 3 7 504 376
12759 93 28 758 573
12760 10 29 492 368
12761 97 56 315 234
12762 10 49 248 199
12763 4 1 409 423
12764 46 40 155 110
12765 21 10 781 578
12766 3 0 509 376
14284 350 180 640 474
14336 356 176 793 430
