img x1 y1 x2 y2
1000 11 6 236 203
1001 19 13 231 192
1002 14 5 178 144
1003 0 0 200 185
1004 16 0 215 152
1005 0 27 230 201
1006 28 14 290 228
1007 0 0 220 150
1008 0 0 200 150
1009 0 0 340 255
1010 4 6 331 266
1011 0 22 94 126
1012 2 0 170 124
1013 8 0 195 164
1014 2 3 246 236
1015 0 90 300 400
1016 0 11 220 197
1017 0 6 262 240
1018 19 3 326 266
1019 0 12 230 240
1020 6 0 250 188
1021 10 10 185 137
1022 0 6 169 140
1023 20 0 320 240
1024 0 1 172 137
1025 0 15 263 312
1026 36 52 243 225
1027 0 0 243 182
1028 0 0 300 239
1029 0 2 325 274
1030 0 0 180 135
1031 41 2 243 162
1032 12 8 194 147
1033 13 12 195 148
1034 6 0 250 177
1035 0 0 250 180
1036 0 0 350 262
1037 0 0 400 275
1038 3 0 200 142
1039 0 0 320 240
1040 16 12 241 175
1041 0 16 286 240
1042 0 0 350 265
1043 0 0 450 337
1044 0 31 240 248
1045 15 18 200 127
1046 23 19 332 265
1047 18 12 193 142
1048 0 0 350 263
1049 0 0 360 270
1050 12 8 291 226
1051 13 8 227 177
1052 0 13 450 300
1053 0 44 274 256
1054 0 0 384 288
1055 4 14 193 148
1056 3 9 279 231
1057 18 45 612 450
1058 15 21 177 132
1059 14 10 180 142
1060 0 0 301 231
1061 5 9 192 147
1062 11 2 251 186
1063 68 37 580 450
1064 9 0 396 312
1065 0 0 352 264
1066 0 4 228 220
1067 0 0 188 160
1068 0 0 302 238
1069 0 57 500 375
1070 9 14 216 162
1071 0 0 170 137
1072 0 0 200 130
1073 48 84 761 587
1074 26 0 344 263
1075 0 0 600 450
1076 9 0 345 269
1077 35 36 243 188
1078 0 8 200 146
1079 0 0 170 134
1080 0 0 220 180
1081 0 10 320 236
1082 21 4 255 183
1083 17 3 259 184
1084 25 8 254 182
1085 0 0 320 240
1086 16 6 280 219
1087 0 0 320 240
1088 0 0 800 600
1089 0 46 240 262
1090 44 2 586 454
1091 0 1 640 468
1092 13 6 220 175
1093 25 7 253 183
1094 13 0 435 292
1095 6 18 320 232
1096 0 75 360 438
1097 12 12 285 220
1098 38 24 578 472
1099 0 15 147 121
13995 34 20 272 244
14917 194 176 502 472
16731 17 3 417 299
16735 78 62 379 330
16744 1 2 637 478
16746 60 9 541 396
16751 3 30 401 360
16752 1 45 418 351
16774 50 50 568 458
16782 130 31 624 432
16786 1 0 506 338
16795 45 23 358 249
