img x1 y1 x2 y2
400 0 0 400 300
401 0 0 280 210
402 28 24 254 224
403 0 0 400 300
404 0 0 480 309
405 23 21 306 256
406 16 9 266 208
407 26 20 221 184
408 6 0 271 226
409 21 15 317 244
410 15 10 323 271
411 0 50 187 186
412 13 46 359 269
413 0 0 159 142
414 37 22 219 196
415 25 19 312 252
416 10 8 262 204
417 0 0 210 158
418 15 6 257 219
419 0 1 509 370
420 34 11 302 258
421 0 0 324 269
422 0 0 329 259
423 12 8 324 262
424 18 14 321 280
425 0 0 251 222
426 18 10 260 210
427 10 9 312 255
428 0 0 218 198
429 0 0 312 279
430 0 0 262 227
431 32 22 299 249
432 0 0 240 144
433 0 0 254 212
434 0 0 155 135
435 27 11 327 231
436 0 0 352 264
437 0 0 640 480
438 23 12 310 260
439 10 6 163 120
440 31 13 300 239
441 27 20 307 248
442 27 14 229 177
443 0 0 210 172
444 0 0 205 142
445 24 5 303 261
446 12 6 324 263
447 49 34 296 247
448 17 4 323 254
449 19 0 313 261
450 0 0 312 264
451 0 0 244 183
452 58 23 342 240
453 62 48 366 240
454 30 11 275 166
455 0 39 240 266
456 41 0 450 321
457 48 22 293 242
458 19 14 267 193
459 40 21 268 236
460 25 25 225 197
461 0 0 246 184
462 0 0 230 150
463 23 82 435 290
464 52 6 383 307
465 0 0 500 375
466 133 110 575 401
467 273 172 640 422
467 44 150 236 252
468 23 23 217 146
469 0 28 456 404
470 66 16 270 190
471 3 16 293 210
472 26 31 311 213
473 38 28 241 207
474 19 42 303 213
475 172 44 612 312
476 14 2 198 153
477 69 39 184 138
478 0 0 379 378
479 1 22 225 185
480 0 0 190 157
481 0 0 190 158
482 25 17 318 262
483 18 13 185 145
484 0 0 306 240
485 5 6 276 242
486 0 19 270 244
487 16 27 333 263
488 0 27 420 315
489 54 16 521 452
490 0 30 180 206
491 9 24 324 264
492 8 16 201 184
493 16 16 205 185
494 64 22 210 146
495 88 56 574 353
496 34 18 347 287
497 0 0 200 150
498 10 20 452 445
9177 21 54 340 393
9178 0 72 360 403
10708 0 69 337 388
10709 7 90 360 408
10843 20 0 268 434
10863 0 0 360 480
11222 54 0 417 334
11233 0 0 469 360
11247 49 21 402 313
11248 60 18 408 307
12178 0 55 220 245
13762 1 184 452 573
13765 58 2 558 456
13767 248 92 588 412
13771 48 36 388 305
14094 23 130 365 383
14739 0 0 640 480
14740 0 0 640 480
14810 148 196 440 480
14821 56 8 540 480
14826 66 157 380 458
14836 0 235 450 724
14838 0 42 600 753
14851 168 184 446 456
14852 0 151 450 571
14857 0 36 504 450
14858 0 204 268 497
14859 126 0 506 368
14860 2 114 302 388
14875 340 98 640 362
14879 244 24 640 402
14922 242 168 502 412
14972 100 3 691 600
15037 48 64 604 472
15144 30 52 332 402
15403 264 56 600 384
15442 170 143 438 368
15579 4 138 377 542
15648 18 40 408 402
15662 33 113 340 352
15720 303 152 600 440
15781 125 97 458 428
15809 280 60 593 358
15810 242 0 597 308
15943 168 102 447 358
16015 175 87 496 358
16112 1 63 382 418
16250 10 140 302 386
16267 6 48 378 388
16681 6 84 386 430
16707 17 45 412 390
