img x1 y1 x2 y2
900 0 0 180 140
901 0 19 198 182
902 0 18 400 300
903 43 25 193 168
904 0 0 247 183
905 21 12 228 174
906 11 0 374 240
907 0 0 195 180
908 16 0 198 166
909 28 0 211 157
910 19 0 216 165
911 0 3 160 120
912 0 0 201 200
913 105 61 450 338
914 45 0 253 210
915 33 42 314 276
916 0 0 389 300
917 3 46 256 192
918 24 24 249 225
919 0 26 312 263
920 27 35 227 182
921 10 8 147 106
922 12 33 151 123
923 49 0 640 480
924 17 18 148 120
925 0 54 210 203
926 43 9 204 163
927 6 8 210 209
928 0 0 320 240
929 0 49 224 216
930 0 9 240 192
931 0 49 300 233
932 0 60 250 250
933 0 0 250 188
934 0 32 200 186
935 76 14 320 240
936 0 0 160 138
937 0 0 400 345
938 0 0 160 122
939 0 33 220 181
940 0 35 220 183
941 0 25 220 188
942 16 4 166 180
943 0 0 225 188
944 30 12 213 165
945 28 4 216 171
946 0 0 200 233
947 0 30 320 240
948 15 13 152 98
949 0 34 210 158
950 0 6 210 144
951 18 11 180 140
952 0 0 180 140
953 0 3 147 158
954 0 0 138 147
955 80 0 528 448
956 22 28 221 176
957 24 40 298 240
958 44 0 304 162
959 29 4 191 141
960 0 0 158 136
961 29 25 138 111
962 8 13 151 128
963 35 0 250 188
964 27 11 215 180
965 21 32 155 146
966 2 0 194 174
967 0 0 540 330
968 0 19 276 249
969 21 40 221 177
970 22 41 225 173
971 52 110 405 348
972 0 0 188 141
973 12 0 320 240
974 10 19 218 150
975 52 18 320 218
976 0 0 187 212
977 0 0 400 345
978 2 2 214 130
979 28 24 366 303
980 0 0 160 132
981 0 0 160 132
982 0 0 231 200
983 0 0 185 201
984 163 0 520 345
985 34 29 511 396
986 0 26 407 337
987 29 16 197 158
988 0 0 397 337
989 0 0 520 390
990 0 0 800 600
991 20 18 222 194
992 18 17 225 195
993 0 57 351 300
994 78 18 300 217
995 0 53 345 345
996 0 0 450 367
997 18 24 300 224
998 0 8 240 290
999 0 0 480 360
9109 52 24 429 318
9292 40 24 432 330
9297 40 16 412 339
10636 42 0 480 343
10836 25 3 477 340
10851 0 82 267 403
10869 7 22 358 480
10870 0 25 360 456
10899 0 81 360 410
10948 0 15 355 480
11112 0 0 430 349
11123 18 10 426 321
11220 36 12 459 348
11283 6 60 261 288
11615 3 114 201 327
11616 13 142 195 324
11620 13 25 429 460
11671 79 0 466 288
13751 8 136 292 340
13769 12 144 284 402
13784 55 47 476 378
13791 30 0 340 202
14264 0 4 153 152
14527 386 0 800 461
14763 95 12 465 412
14764 330 60 708 412
14768 66 65 480 391
14769 43 83 465 475
15051 108 51 550 393
15469 0 98 368 526
15614 121 36 590 401
15695 36 33 363 356
15773 306 94 597 419
15833 20 181 358 450
16190 5 24 262 241
16631 10 46 298 341
