img x1 y1 x2 y2
600 14 6 517 248
601 39 34 283 201
602 12 0 184 143
603 0 5 186 123
604 9 5 284 196
605 51 49 247 141
606 20 26 180 125
607 32 141 153 209
608 34 80 339 298
609 13 30 225 182
610 0 0 178 127
611 12 22 304 234
612 72 11 187 102
613 0 21 210 130
614 0 0 180 137
615 0 0 640 480
616 23 49 210 184
617 0 0 218 134
618 42 25 189 103
619 0 0 190 130
620 40 13 235 150
621 44 22 189 119
622 0 0 217 143
623 0 0 540 241
624 0 4 204 177
625 0 0 200 150
626 0 0 287 166
627 74 67 299 190
628 58 24 193 116
629 10 19 261 167
630 0 10 180 132
631 9 13 286 213
632 0 0 730 200
633 0 0 180 127
634 0 2 593 327
635 0 12 320 200
636 0 26 248 158
637 0 27 135 109
638 5 14 157 116
639 23 29 142 102
640 6 0 555 316
641 10 8 217 143
642 20 9 200 155
643 1 6 215 168
644 13 79 555 358
645 0 4 158 124
646 23 42 258 197
647 52 20 163 112
648 4 0 192 204
649 9 15 193 118
650 16 18 214 165
651 0 158 462 444
652 35 32 385 237
653 0 38 250 191
654 0 31 200 129
655 0 28 200 132
656 0 22 237 152
657 0 0 175 121
658 0 0 175 131
659 29 11 237 173
660 0 5 391 300
661 15 66 200 120
662 3 24 291 172
663 0 14 270 168
664 0 50 320 292
665 2 6 212 138
666 0 88 300 297
667 31 69 168 125
668 46 63 367 239
669 0 16 230 134
670 17 39 115 144
671 0 1 600 450
672 2 58 500 351
673 0 0 258 268
674 0 18 400 285
675 9 31 387 271
676 2 1 255 215
677 12 8 262 175
678 8 21 148 104
679 39 18 219 166
680 12 22 187 142
681 12 15 235 107
682 5 0 449 307
683 34 26 282 232
684 0 1 268 195
685 1 41 262 166
686 0 0 778 179
687 0 0 288 200
688 63 6 241 210
689 73 22 208 186
690 91 18 204 188
691 60 13 231 186
692 66 12 237 186
693 42 44 246 133
694 79 23 173 141
695 45 14 224 151
696 79 12 176 151
697 18 129 330 199
698 0 40 320 226
699 0 7 180 154
9049 114 126 588 374
9051 10 14 236 312
9093 45 27 412 268
9124 48 133 318 310
9185 94 57 297 316
9186 30 234 340 360
9203 0 78 255 417
9204 63 60 480 297
9226 40 54 480 309
9231 0 13 480 336
9237 51 69 459 322
9253 69 36 228 462
10577 66 129 279 252
10655 87 132 289 206
10655 81 190 312 307
10717 13 132 262 253
10717 117 112 181 186
10717 160 142 229 218
10717 51 242 220 351
10717 153 250 328 357
10852 49 30 261 315
10852 195 58 471 306
10853 97 27 264 253
10853 118 84 313 345
10854 130 66 406 175
10854 93 157 409 298
11102 15 0 441 359
11361 30 51 205 294
13681 58 23 791 578
13682 0 0 796 596
13719 186 152 436 384
13753 156 32 496 253
14070 45 376 391 551
14359 16 175 710 556
14384 201 285 423 477
14529 28 1 785 596
14539 0 75 800 570
14569 34 29 286 236
14570 4 36 272 237
14571 0 82 112 186
14572 76 123 248 240
14579 23 16 800 596
14586 1 21 775 555
14657 0 0 640 478
14672 0 140 445 422
14677 16 178 366 406
14720 11 41 228 216
14765 32 0 562 448
14840 86 21 673 600
15049 0 0 600 360
15073 82 90 520 340
15116 0 90 640 402
15121 20 28 597 324
15172 25 0 480 433
15307 4 69 418 375
15460 0 0 502 450
15782 30 0 546 448
15918 0 37 479 611
15919 20 0 552 450
16104 1 103 591 442
16118 50 17 548 397
