img x1 y1 x2 y2
1502 16 56 309 480
1692 17 12 397 286
1693 7 5 152 113
1694 69 31 732 563
1695 0 0 213 120
1696 92 60 320 240
1697 0 5 203 120
1698 6 7 300 224
1699 5 33 182 184
1700 6 5 171 128
1701 4 4 172 128
1702 0 52 430 350
1703 0 0 350 250
1704 6 19 249 161
1705 0 0 187 146
1706 0 0 174 116
1707 10 0 640 477
1708 0 10 237 247
1709 25 0 460 360
1710 15 13 285 199
1711 0 9 233 263
1712 0 54 216 286
1713 33 4 386 270
1714 16 87 502 374
1715 15 13 498 352
1716 16 7 174 150
1717 0 0 350 263
1718 5 1 156 117
1719 19 0 279 200
1720 8 8 454 373
1721 0 4 192 144
1722 7 8 349 263
1723 0 53 350 263
1724 0 56 349 262
1725 0 27 350 246
1726 0 45 309 232
1727 28 0 620 480
1728 80 0 590 480
1729 70 38 264 220
1730 0 11 190 131
1731 56 18 624 454
1732 59 45 326 264
1733 48 6 278 208
1734 0 0 200 172
1735 2 1 175 131
1736 4 5 185 148
1737 0 0 640 480
1738 13 5 397 286
1739 38 18 252 143
1740 0 13 300 282
1741 0 26 250 262
1742 0 16 300 271
1743 0 0 800 639
1744 0 0 178 120
1745 0 0 178 120
1746 0 0 178 120
1747 0 0 178 120
1748 0 0 178 120
1749 0 0 178 120
1750 0 0 178 120
1751 0 0 178 120
1752 0 0 178 120
1753 0 0 177 120
1754 0 0 177 120
1755 0 0 178 120
1756 0 0 178 120
1757 0 0 178 120
1758 0 0 196 153
1759 3 3 234 174
1760 7 3 240 174
1761 0 0 178 132
1762 0 0 179 132
1763 0 0 350 190
1764 0 0 196 147
1765 0 0 282 204
1766 0 0 240 177
1767 0 21 280 179
1768 0 0 240 180
1769 0 0 250 172
1770 0 0 320 192
1771 0 0 230 150
1772 12 9 149 99
1773 0 0 210 127
1774 21 9 135 104
1775 7 6 150 110
1776 23 8 183 129
1777 5 0 244 174
1778 0 0 288 225
1779 3 6 212 159
1780 0 12 219 282
1781 0 7 208 156
1782 38 0 328 240
1783 0 0 342 251
1784 0 45 520 297
1785 0 0 213 120
1786 0 0 479 379
1787 14 0 205 133
1788 0 0 205 131
1789 7 0 276 225
1790 0 0 256 192
1791 0 0 384 288
9083 61 42 405 348
9092 33 15 460 316
11450 3 88 283 343
13689 126 101 636 500
13829 123 28 320 216
13984 22 105 190 278
14038 33 151 561 693
14349 0 64 378 302
14351 0 41 443 385
14391 0 0 463 450
14405 31 0 753 450
14841 128 30 524 416
14847 68 8 568 480
14848 90 0 580 472
14996 85 1 624 473
14999 67 0 545 323
15035 108 0 542 431
15347 28 23 355 223
15453 84 30 495 373
15554 40 165 435 494
15674 50 50 552 422
15761 27 3 600 450
15890 0 0 567 450
15913 68 49 565 424
15928 0 0 263 246
16079 85 27 535 426
16374 48 4 578 473
16376 98 22 566 478
16727 4 7 399 289
16734 32 20 608 388
16789 59 58 513 360
16794 29 42 508 518
16796 1 8 634 478
