img x1 y1 x2 y2
1604 54 21 104 53
1605 0 11 42 76
1609 0 26 163 230
1613 0 0 73 60
1621 100 247 324 435
1647 198 435 480 640
1648 0 60 106 289
1648 306 9 477 114
1652 0 141 320 213
1663 140 133 320 238
1663 152 42 229 75
1664 4 194 202 380
1685 0 365 194 499
1688 295 84 426 200
4416 119 188 365 344
4434 179 45 448 300
4459 112 64 300 195
4461 163 119 312 322
5543 136 38 254 139
6955 25 43 221 228
10598 0 76 327 336
11156 229 157 427 328
11161 241 159 427 337
11197 72 211 219 283
11326 156 88 276 283
11365 25 0 361 228
11367 0 3 480 357
11590 163 85 258 259
11954 16 183 454 384
12930 56 104 638 418
12931 0 0 220 170
12932 10 5 411 317
12933 0 45 300 260
12934 0 56 660 515
12935 34 81 531 422
12936 21 2 440 333
12937 0 0 309 235
12938 17 0 390 275
12939 0 45 240 316
12940 19 0 192 150
12941 0 0 355 268
12942 4 38 398 336
12943 66 45 453 334
12944 62 22 640 425
12945 0 14 330 247
12946 0 0 400 300
12947 0 0 449 357
12948 18 3 500 375
12949 80 0 580 480
12950 0 0 320 320
12951 83 71 355 237
12952 0 20 320 240
12953 56 68 721 560
12954 93 42 421 330
12955 0 36 400 354
12956 0 0 320 240
12957 0 0 400 281
12958 0 20 300 229
12959 151 0 300 176
12959 0 12 135 182
12960 0 79 169 268
12961 18 21 362 303
12962 18 35 197 305
12963 6 52 390 384
12964 19 15 229 218
12965 0 0 260 200
12966 0 0 751 600
12967 0 33 280 346
12968 27 2 441 345
12969 0 1 728 610
12970 51 31 316 342
12971 14 0 498 375
12972 28 49 323 288
12973 9 6 400 306
12974 12 2 395 300
12975 3 50 500 369
12976 0 4 640 480
12977 31 0 380 260
12978 0 18 300 238
12979 5 26 312 226
12980 0 4 355 261
12981 0 0 340 453
12982 79 0 367 276
12983 7 24 307 264
12984 0 58 300 259
12985 4 3 387 186
12986 0 26 479 308
12987 0 40 202 160
12988 34 10 430 338
12989 0 1 348 257
12990 2 71 278 413
12991 6 12 180 167
13508 0 3 287 308
13520 116 52 315 165
13567 0 21 242 266
13760 356 150 584 376
13761 0 172 132 392
13766 228 44 476 276
13783 78 2 388 168
13785 93 30 371 387
13886 22 36 232 272
14273 120 268 394 468
14314 106 31 386 324
14332 10 215 453 611
14334 353 44 600 282
14490 266 176 480 401
14499 0 48 208 376
14566 0 24 319 239
14575 0 61 201 394
14814 500 92 640 392
14828 418 68 640 428
14829 6 173 91 315
14834 334 180 528 412
14897 0 58 194 384
14910 348 204 592 430
14919 409 230 570 442
14921 356 140 576 296
14923 495 256 708 568
15021 392 161 576 386
15138 0 16 229 261
15260 3 17 210 348
15283 71 20 266 209
15331 27 85 333 314
15332 4 7 311 273
15345 24 57 293 273
15350 27 42 328 323
15378 344 21 634 346
15379 0 11 206 362
15390 0 108 383 588
15414 332 201 532 310
15482 232 25 510 247
15486 0 2 277 464
15506 211 275 335 414
15509 0 79 518 370
15513 245 46 493 238
15578 40 208 365 567
15594 65 17 291 189
15624 0 0 207 226
15688 8 221 171 416
15703 71 15 363 305
15717 476 277 600 423
15743 333 20 590 310
15762 254 216 400 321
15763 173 108 345 188
15780 287 172 565 437
15792 278 40 456 157
15801 81 0 547 360
15849 238 86 396 223
15891 346 136 526 326
15958 191 28 398 248
15963 258 77 565 422
16021 387 89 585 277
16111 36 165 295 412
16486 394 61 632 465
16616 333 86 593 363
16684 396 47 573 312
