img x1 y1 x2 y2
2793 0 0 261 160
2794 0 0 382 266
2795 17 0 171 158
2796 76 18 381 260
2797 12 7 142 87
2798 36 12 258 165
2799 81 63 173 126
2800 0 14 182 150
2801 0 0 284 256
2802 0 0 226 163
2803 0 0 160 120
2804 6 19 160 106
2805 110 137 367 375
2806 0 8 187 136
2807 58 59 210 137
2808 0 0 570 246
2809 28 18 187 132
2810 0 0 475 287
2811 0 0 205 188
2812 0 0 258 205
2813 0 0 250 172
2814 43 18 192 110
2815 0 14 180 168
2816 0 21 511 340
2817 0 22 300 225
2818 0 27 270 240
2819 0 7 300 214
2820 0 0 300 226
2821 21 36 351 221
2822 30 7 217 162
2823 9 14 160 114
2824 0 16 185 139
2825 0 29 460 345
2826 0 15 216 146
2827 26 35 369 260
2828 0 32 219 142
2829 6 19 164 121
2830 0 15 211 158
2831 45 0 500 375
2832 35 127 279 273
2833 0 9 224 157
2834 0 31 220 146
2835 0 108 330 285
2836 8 102 380 285
2837 0 47 380 285
2838 17 37 296 187
2839 0 0 120 90
2840 0 9 279 240
2841 0 0 300 225
2842 33 0 255 142
2843 0 27 180 135
2844 0 131 440 534
2845 0 59 198 145
2846 15 12 475 338
2847 0 25 500 350
2848 0 0 240 400
2849 0 11 176 150
2850 0 0 192 123
2851 0 0 500 375
2852 71 70 446 355
2853 0 0 250 188
2854 10 17 222 150
2855 0 52 400 245
2856 0 64 250 212
2857 82 15 433 321
2858 0 19 225 166
2859 0 0 420 319
2860 0 0 420 352
2861 30 20 141 106
2862 20 22 458 270
2863 0 0 180 135
2864 0 18 229 152
2865 0 0 180 135
2866 0 14 190 126
2867 0 20 210 131
2868 0 10 250 183
2869 15 0 395 223
2870 0 0 240 381
2871 0 6 195 137
2872 0 13 180 112
2873 48 29 207 122
2874 0 136 640 396
2875 52 43 249 181
2876 0 25 500 365
2877 0 0 300 220
2878 0 41 640 462
2879 0 0 270 202
2880 0 0 500 375
2881 0 16 180 117
2882 14 33 388 254
2883 16 31 201 118
2884 52 0 800 562
2885 4 1 174 133
2886 0 26 250 250
2887 0 0 220 132
2888 0 0 300 163
2889 30 8 223 121
2890 0 14 400 325
2891 0 0 400 333
2892 0 0 376 211
5375 1 0 342 427
6869 0 0 360 480
9165 30 150 336 340
9166 48 43 292 408
9167 61 40 271 373
9168 96 108 303 315
9198 18 54 327 375
9199 0 3 360 412
9200 0 0 360 480
9225 82 28 279 399
9250 42 60 264 258
9267 67 6 417 345
9268 69 36 394 330
13616 115 0 710 596
14085 64 16 600 458
14542 0 11 591 788
14543 0 0 800 600
14587 10 168 572 702
14648 68 21 592 478
15249 144 87 293 214
15252 32 195 475 668
15253 153 35 733 369
15254 133 14 658 456
15338 60 74 613 445
15575 240 30 480 290
15580 112 66 500 432
15745 5 143 266 422
15753 10 34 432 333
15775 16 71 600 398
15811 0 42 600 426
15877 0 0 537 426
16345 12 28 640 294
16356 76 142 572 372
16661 46 6 505 333
