img x1 y1 x2 y2
1200 67 137 456 437
1201 34 89 423 331
1202 59 46 237 158
1203 16 26 280 240
1204 0 71 418 336
1205 0 15 142 109
1206 5 23 156 93
1207 4 26 194 114
1208 20 100 339 300
1209 29 31 184 119
1210 15 14 185 130
1211 81 47 391 295
1212 20 37 246 232
1213 0 20 320 220
1214 27 18 216 174
1215 14 21 174 109
1216 39 0 285 200
1217 62 8 278 182
1218 36 11 192 186
1219 0 0 200 149
1220 0 24 320 220
1221 46 72 242 240
1222 0 6 202 230
1223 27 0 190 156
1224 16 18 296 240
1225 18 0 312 240
1226 0 13 640 480
1227 72 0 703 587
1228 163 142 789 576
1229 276 52 800 534
1230 276 64 582 596
1231 94 22 740 546
1232 0 146 544 540
1233 240 75 770 504
1234 0 24 120 76
1235 0 186 800 533
1236 182 10 684 585
1237 32 78 291 213
1238 0 42 320 184
1239 19 36 201 138
1240 0 26 327 211
1241 0 0 200 150
1242 33 15 162 127
1243 127 103 340 411
1244 29 10 176 120
1245 0 6 240 144
1246 7 0 160 135
1247 242 105 434 253
1248 98 16 682 492
1249 0 133 243 291
1250 16 8 379 306
1251 13 14 401 282
1252 176 184 591 506
1253 144 68 663 542
1254 0 60 430 250
1255 106 112 463 320
1256 0 0 336 362
1257 2 4 310 234
1258 16 36 282 202
1259 18 24 310 232
1260 126 123 439 279
1261 99 69 436 276
1262 84 113 463 297
1263 0 8 320 198
1264 0 10 200 131
1265 44 10 276 226
1266 20 12 314 232
1267 84 2 157 135
1268 52 31 415 280
1269 41 6 216 177
1270 40 48 777 476
1271 12 52 240 256
1272 26 21 552 465
1273 21 18 183 146
1274 68 62 187 150
1275 0 0 192 274
1276 0 0 320 240
1277 0 0 180 240
1278 0 5 279 213
1279 0 0 355 154
1280 0 44 207 237
1281 26 81 320 260
1282 0 0 380 285
1283 0 0 352 288
1284 0 0 320 253
1285 0 38 270 203
1286 33 10 233 126
1287 0 9 240 157
1288 0 0 198 269
1289 0 0 346 230
1290 0 147 314 336
1291 0 43 461 444
1292 56 72 313 194
1293 6 30 320 192
1294 27 16 221 160
1295 0 0 300 160
1296 19 25 384 281
1297 17 30 323 277
1298 0 0 280 210
1299 29 19 486 375
9169 0 160 360 306
9174 9 72 282 460
9227 24 85 280 465
9347 138 193 324 295
10700 0 36 360 456
10705 0 63 360 480
10761 0 63 358 478
10920 1 27 360 460
10922 0 0 360 480
10935 0 108 360 480
10936 0 1 360 480
13812 5 92 194 182
14278 195 164 390 392
14296 221 0 585 378
14611 15 353 265 573
14614 18 283 253 485
14845 39 73 302 724
16030 164 192 488 330
16429 340 68 626 392
16441 154 97 476 275
16441 18 229 341 449
